"row_id","project_code","project_lead","location","location_names","location_countries","subsector_type","subsector_stated","intervention_stated","rationale_stated","target_beneficiary","result_stated","result_value","result_metric","result_unit","result_level","evidence_stated","evidence_depth"
"11","P001","CON14","P001.11","South Africa","South Africa","land use","The project specifically targets ""Sustainable Land and Water Management (SLWM)"" to strengthen capacity at the NEPAD Agency to support TerrAfrica member countries on knowledge management and actions for scaling up these practices.","South Africa's received CSIF platform launch support.","South Africa's CSIF development addresses climate-induced land degradation risks through sustainable land and water management practices to enhance agricultural resilience.","farmer group","17 experts were deployed for CSIF development, including in South Africa.","","","","outcome","The results are backed by PDO indicators that measured achievements against baseline targets.","2"
"12","P001","CON14","P001.12","Burundi","Burundi","land use","The project specifically targets ""Sustainable Land and Water Management (SLWM)"" to strengthen capacity at the NEPAD Agency to support TerrAfrica member countries on knowledge management and actions for scaling up these practices.","Burundi was visited for joint fact-finding and planning missions in 2015.","Burundi's joint fact-finding mission addresses climate-induced land degradation risks through sustainable land and water management practices to enhance agricultural resilience.","farmer group","A joint fact-finding and planning mission was conducted in Burundi in 2015 and SLWM-specific workshops and training modules were conducted.","","","","outcome","The results are backed by PDO indicators that measured achievements against baseline targets.","2"
"13","P001","CON14","P001.13","Comoros","Comoros","land use","The project specifically targets ""Sustainable Land and Water Management (SLWM)"" to strengthen capacity at the NEPAD Agency to support TerrAfrica member countries on knowledge management and actions for scaling up these practices.","Comoros received SLWM platform launch support.","Comoros's SLWM platform launch addresses climate-induced land degradation risks through sustainable land and water management practices to enhance agricultural resilience.","farmer group","Comoros's SLWM platform was launched.","","","","outcome","The results are backed by PDO indicators that measured achievements against baseline targets.","2"
"14","P001","CON14","P001.14","Benin","Benin","land use","The project specifically targets ""Sustainable Land and Water Management (SLWM)"" to strengthen capacity at the NEPAD Agency to support TerrAfrica member countries on knowledge management and actions for scaling up these practices.","Benin was visited for joint fact-finding and planning missions in 2018.","Benin's joint fact-finding mission addresses climate-induced land degradation risks through sustainable land and water management practices to enhance agricultural resilience.","farmer group","A joint fact-finding and planning mission was conducted in Benin in 2018 and SLWM-specific workshops and training modules were conducted.","","","","outcome","The results are backed by PDO indicators that measured achievements against baseline targets.","2"
"15","P001","CON14","P001.15","Sudan","Sudan","land use","The project specifically targets ""Sustainable Land and Water Management (SLWM)"" to strengthen capacity at the NEPAD Agency to support TerrAfrica member countries on knowledge management and actions for scaling up these practices.","Sudan was visited for joint fact-finding and planning missions in 2018.","Sudan's joint fact-finding mission addresses climate-induced land degradation risks through sustainable land and water management practices to enhance agricultural resilience.","farmer group","A joint fact-finding mission was successfully conducted and a Building Resilience through Innovation Communication and Knowledge Services (BRICKS) communications workshop was implemented in 2017.","","","","outcome","The results are backed by PDO indicators that measured achievements against baseline targets.","2"
"16","P001","CON14","G015.1","Burkina Faso","Burkina Faso","land use","The project specifically targets ""Sustainable Land and Water Management (SLWM)"" to strengthen capacity at the NEPAD Agency to support TerrAfrica member countries on knowledge management and actions for scaling up these practices.","Burkina Faso received CSIF support and a documentary on SLM best practices was produced.","Burkina Faso's CSIF support and SLM documentary address climate-induced land degradation risks through sustainable land and water management practices to enhance agricultural resilience.","farmer group","CSIF support was provided and one documentary on SLM best practices was produced for Burkina Faso, including 4 learning videos on frequently asked SLWM questions (FAQs), lessons and recommendations on SLWM, erosion and best SLWM practices.","","","","outcome","The results are backed by PDO indicators that measured achievements against baseline targets.","2"
"17","P001","CON14","G021.1","Lesotho","Lesotho","land use","The project specifically targets ""Sustainable Land and Water Management (SLWM)"" to strengthen capacity at the NEPAD Agency to support TerrAfrica member countries on knowledge management and actions for scaling up these practices.","Lesotho received CSIF validation workshop support.","Lesotho's CSIF validation workshop addresses climate-induced land degradation risks through sustainable land and water management practices to enhance agricultural resilience.","farmer group","CSIF validation workshop was successfully implemented and workshops were found to be very useful by country coordinators.","","","","outcome","Feedback from interviews with the SLWM coordinators in Lesotho, Uganda and Ghana indicated that the ROAM...and CSIF workshops were found to be very useful.","2"
"18","P001","CON14","G038.1","Congo","Republic of the Congo","land use","The project specifically targets ""Sustainable Land and Water Management (SLWM)"" to strengthen capacity at the NEPAD Agency to support TerrAfrica member countries on knowledge management and actions for scaling up these practices.","Republic of Congo (Brazzaville) was visited for SLWM-specific workshops and support activities.","Republic of Congo's country visit addresses climate-induced land degradation risks through sustainable land and water management practices to enhance agricultural resilience.","farmer group","Support activities conducted in Republic of Congo (Brazzaville), including SLWM-specific workshops and learning modules and on SLWM investment planning.","","","","outcome","The results are backed by PDO indicators that measured achievements against baseline targets.","2"
"19","P001","CON14","G015.2","Ghana","Ghana","land use","The project specifically targets ""Sustainable Land and Water Management (SLWM)"" to strengthen capacity at the NEPAD Agency to support TerrAfrica member countries on knowledge management and actions for scaling up these practices.","Ghana received CSIF support and a study on the use of bamboo for land management was conducted.","Ghana's CSIF support and bamboo study address climate-induced land degradation risks through sustainable land and water management practices to enhance agricultural resilience.","farmer group","CSIF support was provided, workshops were found to be very useful by country coordinators, and the study on the use of bamboo for restoration was successfully conducted.","","","","outcome","Feedback from interviews with the SLWM coordinators in Lesotho, Uganda and Ghana indicated that the ROAM...and CSIF workshops were found to be very useful.","2"
"20","P001","CON14","G034.1","Zimbabwe","Zimbabwe","land use","The project specifically targets ""Sustainable Land and Water Management (SLWM)"" to strengthen capacity at the NEPAD Agency to support TerrAfrica member countries on knowledge management and actions for scaling up these practices.","Zimbabwe was visited for joint fact-finding and planning missions in 2018 and for country support activities.","Zimbabwe's joint fact-finding mission addresses climate-induced land degradation risks through sustainable land and water management practices to enhance agricultural resilience.","farmer group","A joint fact-finding and planning mission was successfully conducted in Zimbabwe in 2018 and SLWM-specific workshops and training modules were conducted.","","","","outcome","The results are backed by PDO indicators that measured achievements against baseline targets.","2"
"21","P001","CON14","L004.1","Côte d’Ivoire","Côte d’Ivoire","land use","The project specifically targets ""Sustainable Land and Water Management (SLWM)"" to strengthen capacity at the NEPAD Agency to support TerrAfrica member countries on knowledge management and actions for scaling up these practices.","Côte d'Ivoire received CSIF support, a ROAM workshop was held in partnership with IUCN, and a joint fact-finding mission was conducted in 2015.","Côte d'Ivoire's CSIF support and ROAM workshop address climate-induced land degradation risks through sustainable land and water management practices to enhance agricultural resilience.","farmer group","CSIF support was provided on topics like SLWM investment planning, one ROAM workshop was held, and a joint fact-finding and planning mission was conducted in 2015.","","","","outcome","The results are backed by PDO indicators that measured achievements against baseline targets.","2"
"22","P001","CON14","L001.1","Mali","Mali","land use","The project specifically targets ""Sustainable Land and Water Management (SLWM)"" to strengthen capacity at the NEPAD Agency to support TerrAfrica member countries on knowledge management and actions for scaling up these practices.","Mali received support for CSIF development as one of 15 countries supported.","Mali's CSIF development addresses climate-induced land degradation risks through sustainable land and water management practices to enhance agricultural resilience.","farmer group","CSIF development support was provided to Mali as one of 15 countries supported.","","","","outcome","The results are backed by PDO indicators that measured achievements against baseline targets.","2"
"23","P002","GLO17","G015.1","Burkina Faso","Burkina Faso","farming system-mixed","The project targets irrigation infrastructure improvements in Burkina Faso.","Infrastructure improvements, notably for irrigation, were implemented in Burkina Faso.","Water scarcity and drought is leading to heightened concerns about resilience of smallholder farming systems and household food security.","smallholder farmer","RFS generally achieved or exceeded targets, with increased agricultural productivity as the most frequently reported outcome observed in 70 percent of projects, though it fell short on land restored (350 thousand ha only representing 77 percent of target).","","","","outcome","The results are generally backed by program aggregates.","2"
"24","P002","GLO15","P001.12","Burundi","Burundi","farming system-mixed","The project targets participtory extension models for knowledge diffusion and value chain support in Burundi.","The program also effectively supported value chains in Burundi.","The intervention addresses land and soil degradation, deforestation, and biodiversity loss.","smallholder farmer","Increased household income were commonly reported results.","","","","outcome","The results are generally backed by program aggregates.","2"
"25","P002","GLO17","P002.1","Eswatini","Eswatini","farming system-mixed","The project targets value chain support in Eswatini.","The program effectively supported value chains in Eswatini.","Climate variability threatens the resilience of smallholder farming systems.","smallholder farmer","Increased household income were commonly reported results.","","","","outcome","The results are generally backed by program aggregates.","2"
"26","P002","GLO27","P002.2","Ethiopia","Ethiopia","farming system-mixed","The project targets educational extension models like farmer field schools in Ethiopia.","Participatory extension models, such as farmer field schools, accelerated knowledge diffusion among others in Ethiopia.","Drought and land degradation compromise smallholder farming systems' resilience.","smallholder farmer","RFS achieved improved land management and biodiversity landscapes (144% of target) in Ethiopia.","","","","outcome","The results are generally backed by program aggregates.","2"
"27","P002","GLO18","G015.2","Ghana","Ghana","farming system-mixed","The project targets educational extension models, value chain support, and infrastructural needs in Ghana.","RFS child project supported participatory extension models like farmer field schools and lead farmer approaches, and value chains in Ghana.","RFS child project is well matched to beneficiary needs such as land degredation and the associated heightened concerns about resilience and household food security.","women (female-headed households)","RFS activities in Ghana have been linked to climate-smart agriculture and land management, mproved productivity and, in some cases, market access
and income diversification.","","","","outcome","The results are generally backed by program aggregates, and, in the case of Ghana, by some country-specific findings detailed in the case study.","2"
"28","P002","GLO17","P001.4","Kenya","Kenya","farming system-mixed","The project targets both the support of national and district-level planning frameworks and participatory extension models in Kenya.","In Kenya, RFS aimed to support national and district-level planning frameworks, often linked to national food security strategies, specifically the establishment of the Upper Tana Nairobi Water Fund (UTNWF).","The intervention aims to address land and soil degradation.","smallholder farmer","RFS activities helped decentralise planning, and agreed on memoranda of understanding (MoU) with local authorities that aligned national frameworks with district action.","","","","outcome","The results are generally backed by program aggregates.","2"
"29","P002","GLO17","P001.9","Malawi","Malawi","farming system-mixed","The project targets both irrigation infrastructure and extension services.","RFS activities in Malawi supported irrigation infrastructure improvements and participatory extension models.","Water scarcity and drought is leading to heightened concerns about resilience of smallholder farming systems and household food security.","smallholder farmer","Increased agricultural productivity and improved yields were stated as results.","","","","outcome","The results are generally backed by program aggregates.","2"
"30","P002","GLO17","P001.5","Niger","Niger","farming system-mixed","The project targets both irrigation infrastructure improvements and policy improvements.","In Niger, RFS aimed to support national and district-level planning frameworks, namely the Family Farming Development Programme (ProDAF).","Drought and land degradation compromise smallholder farming systems' resilience.","smallholder farmer","The ProDAF project in Niger built capacity for more than 13,000 producers through farmer field schools","13000","producers","individual","outcome","The results are generally backed by program aggregates.","2"
"31","P002","GLO27","P001.8","Nigeria","Nigeria","land use","The project targets the prevention of land degradation and food insecurity.","In Nigeria, RFS interventions included helping stakeholders see reduced land degradation through sustainable farming as integral to economic growth, supporting small-scale irrigation technologies (treadle pumps), value chain partnerships, brokering agreements and supporting contract farming models, and tracking partnerships with private sector entities to develop interstate food commodity value chains under public-private partnerships.","RFS child project addressed the interdependence between food security and ecosystem health.","smallholder farmer","Facilities such as agricultural centers were established to ensure farmers' education on the interdependence of land conservation and food security.","","","","outcome","The results are generally backed by program aggregates.","2"
"32","P002","GLO17","P001.6","Senegal","Senegal","farming system-mixed","The project targets the improvement of agricultural value chains in Senegal.","RFS child project in Senegal developed soil phosphate application, wet sowing techniques, and integrated market gardens.","Climate variability threatens the resilience of agricultural value chains.","smallholder farmer","Seed-producer networks and increased household income were commonly reported results.","","","","outcome","The results are generally backed by program aggregates.","2"
"33","P002","GLO17","P002.3","Tanzania","Tanzania","farming system-mixed","The project targets policy harmonistation via extension services.","This project seeks to achieve political coherence across the policy cycle by strengthening local and district-level institutional capacity in participatory joint land-use mapping, planning, and regulation, facilitating activities like training of facilitators of farmer field schools (FFS) and enhancing stakeholder consultation, adoption, implementation, and enforcement processes.","Despite the decentralized and participatory framework being in place for decades, few Village Land Use Plans (VLUPs) for SLM and forest conservation have been developed and implemented, leading to food insecurity and land degradation.","community","Enhanced village land use planning was reported, leading to a more sustainable cultivation of staple crops like maize.","","","","outcome","The results are generally backed by program aggregates.","2"
"34","P002","GLO27","P002.4","Karamoja","Uganda","farming system-mixed","The project targets the education on agronomic best practices.","The FOOD IAP’s CP introduced high-yield, drought-resistant sorghum, cassava and sweet potato varieties, and set up demonstration gardens (e.g. irrigated vegetables via drip) to showcase agronomic best practices in Uganda's Karamoja region, while also focusing on value chain partnerships, brokering agreements and supporting contract farming models.","The project tackles drought and water scarcity in addition to a lack of knowledge on drought-resistant crops and climate-smart agriculture.","smallholder farmer","CP results were incorporated into Uganda’s third National Development Plan (NDPIII) and influenced the passage of the 2021 Climate Change Act, and environmental sustainability was promoted through the adoption of sustainable practices such as climate-smart agriculture, sustainable fishing practices, and digital monitoring systems, which led to achievement of global environmental benefits like carbon sequestration and land restoration.","","","","outcome","The results are generally backed by program aggregates.","2"
"35","P003","GLO27","P003.1","Liberia","Liberia","agri-food","The project targets the support of  sustainable palm oil value chains.","The GGP's intervention in Liberia supported palm oil outgrowers to adopt better practices by establishing a national multi-stakeholder platform for the palm oil sector to facilitate dialogue between government, private sector (MANCO/MPOI), and communities, supporting conservation agreements, and piloting a Producer Support System Toolkit to improve yields and created alternative sustainable livelihoods for 2,800+ people.","The intervention aims to reduce deforestation from commodity production by helping producers to avoid unsustainable practices like pit-sawing, charcoal production, and bushmeat hunting.","smallholder farmer","2,829 smallholder farmers were reached and supported in adopting more sustainable practices and 5,000 hectares of HCV forest were protected, leading to 13.6 million mtCO2 emissions avoided.","2829","beneficiaries","individual","outcome","Terminal evaluation and program monitoring were used.","2"
"36","P004","GLO15","P004.2; P004.3","Maio; São Vicente","Cabo Verde","farming system-fish","The project targets the cold chain and markets of Cabo Verde's artisanal fisheries sector.","Project interventions supported cold chain and market access improvements through the supply of refrigeration equipment, an ice production unit and a refrigerated truck.","It is necessary to bolster small-scale coastal fisheries governance to secure environmental, social, and economic benefits and address overfishing and resource depletion, and to improve the quality of fishery products, decent working conditions, and to reduce the arduousness and ecological harm of fish processing.","artisanal fisher","Notable policy advances were reported in aligning fisheries governance, policies, and regulations with ecosystem-based management and equipment was installed. 240 out of the 409 beneficiaries were women, with 100 percent of beneficiaries adopting improved methods.","409","beneficiaries","individual","outcome","Evidence seems to be based on general project implementation review and terminal evaluation.","2"
"37","P004","GLO15","P004.4; P004.5","Sassandra; Locodjro","Côte d'Ivoire","farming system-fish","The project targets preparatory work with fisheries cooperatives in Côte d'Ivoire.","Interventions focused on the implementation of the FAO-Thiaroye Processing Technique (FTT-Thiaroye) ovens and rehabilitation of ovens set up by Moroccan cooperation.","To reduce post-harvest losses, improve the quality of fishery products and decent working conditions, and to restore mangrove ecosystems.","artisanal fisher","Côte d'Ivoire focused on preparatory work with fisheries cooperatives, with 91.5 percent adopting improved professional practices.","1414","beneficiaries","individual","output","Evidence seems to be based on general project implementation review and terminal evaluation.","2"
"38","P004","GLO15","P004.6; P004.7","Dionewar; Saloum Islands","Senegal","farming system-fish","The project targets preparatory work with fisheries cooperatives in Senegal.","Interventions focused on the implementation of the FAO-Thiaroye Processing Technique (FTT-Thiaroye) ovens and mangrove restoration in the Saloum Islands.","It is necessary to bolster small-scale coastal fisheries governance to secure environmental, social, and economic benefits and address overfishing and resource depletion, and to improve the quality of fishery products and decent working conditions, and to restore mangrove ecosystems.","artisanal fisher","Senegal focused on preparatory work with fisheries cooperatives, with 66 percent adopting improved professional practices and a reforestation success rate of about 75 percent in 2020.","13200","fishers, processors, wholesalers","individual","outcome","Evidence seems to be based on general project implementation review and terminal evaluation.","2"
"39","P005","UK15","P005.1","Cuamba","Mozambique","farming system-mixed","The project targets input distribution, association building, and training for smallholder farmers of cash and food crops.","Interventions included the distribution of seeds, fertilizers, tools, goats and the training of smallholder farmers in association governance and marketing.","The project seeks to address food security issues, pests like the mosaic streak virus, Striga (witchweed), and rats.","farmer association","100% of groups received seeds or other agricultural inputs, and 43% received training.","","","","output","Consultants visited 29 associations to implement a survey questionnaire with 28 associations in five districts.","2"
"40","P005","UK15","P005.2","Mecanhelas","Mozambique","farming system-mixed","The project targets input distribution, association building, and training for smallholder farmers of cash and food crops.","Interventions included the distribution of seeds, fertilizers, tools, goats and the training of smallholder farmers in association governance and marketing.","The project seeks to address food security issues, pests like the mosaic streak virus, Striga (witchweed), and rats.","farmer association","100% of groups received seeds or other agricultural inputs, and 43% received training.","","","","output","Consultants visited 29 associations to implement a survey questionnaire with 28 associations in five districts.","2"
"41","P005","UK15","P005.3","Mandimba","Mozambique","farming system-mixed","The project targets input distribution, association building, and training for smallholder farmers of cash and food crops.","Interventions included the distribution of seeds, fertilizers, tools, goats and the training of smallholder farmers in association governance and marketing.","The project seeks to address food security issues, pests like the mosaic streak virus, Striga (witchweed), and rats.","farmer association","100% of groups received seeds or other agricultural inputs, and 43% received training.","","","","output","Consultants visited 29 associations to implement a survey questionnaire with 28 associations in five districts.","2"
"42","P005","UK15","P005.4","Maúa","Mozambique","farming system-mixed","The project targets input distribution, association building, and training for smallholder farmers of cash and food crops.","Interventions included the distribution of seeds, fertilizers, tools, goats and the training of smallholder farmers in association governance and marketing.","The project seeks to address food security issues, pests like the mosaic streak virus, Striga (witchweed), and rats.","farmer association","100% of groups received seeds or other agricultural inputs, and 43% received training.","","","","output","Consultants visited 29 associations to implement a survey questionnaire with 28 associations in five districts.","2"
"43","P005","UK15","P005.5","Metarica","Mozambique","farming system-mixed","The project targets input distribution, association building, and training for smallholder farmers of cash and food crops.","Interventions included the distribution of seeds, fertilizers, tools, goats and the training of smallholder farmers in association governance and marketing.","The project seeks to address food security issues, pests like the mosaic streak virus, Striga (witchweed), and rats.","farmer association","100% of groups received seeds or other agricultural inputs, and 43% received training.","","","","output","Consultants visited 29 associations to implement a survey questionnaire with 28 associations in five districts.","2"
"44","P006","CON3","G035.1","Cameroon","Cameroon","farming system-crop","The project targets smallscale climate-smart agriculture and rural development in Cameroon.","Integrated Pest Management (IPM) is supported through the training of village brigades, farmers, and extension workers, and field schools on suitable agronomic practices like manure and seed treatment and the provision of resources like Neem extracts and resistant crop varieties.","Interventions seek to reduce pest-related crop losses from insects and Striga to strengthen food security and reduce reliance on toxic chemicals.","community","30 village farmers and 5 extension workers within 5 village brigades were reached, there was a 177% increase in family labour value and 90% farmers found Neem to be effective.","","","","outcome","The project relies on quasi-experimental evidence derived from controlled field trials comparing IPM-treated plots against traditional control plots, supplemented by standardized farm budget modeling and beneficiary surveys to quantify yield gains, pest reduction, and income increases.","2"
"45","P006","CON3","P001.5","Niger","Niger","farming system-crop","The project targets smallscale climate-smart agriculture and rural development with a focus on millet and cowpea in Niger.","Integrated Pest Management (IPM) is supported through the training of village brigades, farmers, and extension workers, and field schools on suitable agronomic practices like manure and seed treatment and the provision of resources like Neem extracts and resistant crop varieties.","Interventions seek to reduce pest-related crop losses from insects and Striga to strengthen food security and reduce reliance on toxic chemicals.","community","30 village farmers and 5 extension workers within 5 village brigades were reached, there was a 177% increase in family labour value and 90% farmers found Neem to be effective.","","","","outcome","The project relies on quasi-experimental evidence derived from controlled field trials comparing IPM-treated plots against traditional control plots, supplemented by standardized farm budget modeling and beneficiary surveys to quantify yield gains, pest reduction, and income increases.","2"
"46","P006","CON3","P001.8","Nigeria","Nigeria","farming system-crop","The project targets smallscale climate-smart agriculture and rural development with a focus on sorghum, maize, and cowpea in Nigeria.","Integrated Pest Management (IPM) is supported through the training of village brigades, farmers, and extension workers, and field schools on suitable agronomic practices like manure and seed treatment and the provision of resources like Neem extracts and resistant crop varieties.","Interventions seek to reduce pest-related crop losses from insects and Striga to strengthen food security and reduce reliance on toxic chemicals.","community","30 village farmers and 5 extension workers within 5 village brigades were reached, there was a 177% increase in family labour value and 90% farmers found Neem to be effective.","","","","outcome","The project relies on quasi-experimental evidence derived from controlled field trials comparing IPM-treated plots against traditional control plots, supplemented by standardized farm budget modeling and beneficiary surveys to quantify yield gains, pest reduction, and income increases.","2"
"47","P006","CON3","P006.1","Chad","Chad","farming system-crop","The project targets smallscale climate-smart agriculture and rural development with a focus on sorghum and millet in Chad.","Integrated Pest Management (IPM) is supported through the training of village brigades, farmers, and extension workers, and field schools on suitable agronomic practices like manure and seed treatment and the provision of resources like Neem extracts and resistant crop varieties.","Interventions seek to reduce pest-related crop losses from insects and Striga to strengthen food security and reduce reliance on toxic chemicals.","community","30 village farmers and 5 extension workers within 5 village brigades were reached, there was a 177% increase in family labour value and 90% farmers found Neem to be effective.","","","","outcome","The project relies on quasi-experimental evidence derived from controlled field trials comparing IPM-treated plots against traditional control plots, supplemented by standardized farm budget modeling and beneficiary surveys to quantify yield gains, pest reduction, and income increases.","2"
"48","P007","CON26","P007.1","Rwamagana","Rwanda","farming system-crop","The project targets crop insurance and financial education in Rwanda's Rwamagana district.","Interventions in Rwamagana include the implementation of financial education programs insurance among smallscale crop farmers and financial insurance product upscaling interventions.","Project tackles unpredictable weather, windstorms, army worms, and poor-quality seeds as the primary challenges impacting farmers' livelihoods and farm production.","smallholder farmer","Farmers articulated an improvement in their farming abilities and risk management practices after attending financial education programs, with >85% of the 33 smallholder farmers engaged attending at least one financial education program.","85.7","attendees of at least 1 financial education program","percentage","outcome","Four FGDs were conducted, engaging 33 smallholder farmers from the Rwamagana and Ngoma districts.","2"
"49","P007","CON26","P007.2","Ngoma","Rwanda","farming system-crop","The project targets crop insurance and financial education in Rwanda's Ngoma district.","Interventions in Ngoma include the implementation of financial education programs insurance among smallscale crop farmers and financial insurance product upscaling interventions.","Project tackles unpredictable weather, windstorms, army worms, and poor-quality seeds as the primary challenges impacting farmers' livelihoods and farm production.","smallholder farmer","Farmers articulated an improvement in their farming abilities and risk management practices after attending financial education programs, with >85% of the 33 smallholder farmers engaged attending at least one financial education program.","85.7","attendees of at least 1 financial education program","percentage","outcome","Four FGDs were conducted, engaging 33 smallholder farmers from the Rwamagana and Ngoma districts.","2"
